param	n	pearson	p	sigma
ygjH	589	-0.0187	0.9426	0.4531
ebgA	589	0.192	0.0002988	4.7405
ebgC	589	-0.1962	0.0001807	4.8483
ygjI	589	-0.1799	0.001196	4.4303
ygjJ	589	-0.1006	0.9729	2.4510
ygjK	589	-0.007898	0.9473	0.1914
fadH	589	0.08877	0.4727	2.1592
higB	589	-0.3051	4.417e-12	7.7633
rlmG	589	-0.2723	2.26e-09	6.8571
ygjP	589	-0.3199	1.972e-13	8.1818
ygjQ	589	-0.2958	2.861e-11	7.5021
ygjR	589	-0.2405	4.227e-07	6.0042
alx	589	-0.1936	0.0002486	4.7801
ygjV	589	-0.3935	1.89e-21	10.3692
yqjA	589	0.2423	3.24e-07	6.0502
mzrA	589	0.1635	0.006631	4.0158
yqjC	589	0.1332	0.1007	3.2550
yqjD	589	0.1749	0.002049	4.3041
yqjE	589	0.3196	2.107e-13	8.1730
yqjK	589	0.1757	0.001877	4.3249
yqjF	589	-0.247	1.553e-07	6.1757
yqjG	589	-0.2417	3.545e-07	6.0346
yhaH	589	0.3025	7.555e-12	7.6891
yhaI	589	-0.2538	5.229e-08	6.3574
yhaK	589	-0.2186	1.014e-05	5.4268
yhaL	589	-0.06919	0.7885	1.6804
yhaO	589	-0.2142	1.832e-05	5.3128
tdcF	589	-0.1229	0.2203	3.0013
yhaB	589	-0.2339	1.154e-06	5.8273
yhaC	589	-0.2752	1.363e-09	6.9344
rnpB	589	-0.2122	2.402e-05	5.2598
prlF	589	-0.06934	0.7872	1.6840
yhaV	589	-0.035	0.9259	0.8484
agaV	589	0.2161	1.423e-05	5.3617
agaW	589	-0.1687	0.00391	4.1479
agaA	589	0.09975	0.02577	2.4288
agaS	589	-0.02662	0.9363	0.6451
agaB	589	-0.2644	8.933e-09	6.6427
agaC	589	0.1758	0.001858	4.3273
agaD	589	-0.2264	3.377e-06	5.6327
agaI	589	-0.2633	1.076e-08	6.6132
yraH	589	-0.0481	0.8979	1.1668
yraI	589	-0.1548	0.0154	3.7959
yraJ	589	-0.3553	5.355e-17	9.2079
yraK	589	-0.3376	3.738e-15	8.6901
rsmI	589	-0.3313	1.595e-14	8.5072
lpoA	589	0.2581	2.579e-08	6.4729
yraN	589	-0.263	1.145e-08	6.6032
diaA	589	0.05346	0.8802	1.2970
yraP	589	0.07319	0.7499	1.7780
yraQ	589	-0.2839	2.76e-10	7.1740
yraR	589	0.2141	1.855e-05	5.3103
yhbO	589	-0.008554	0.9471	0.2073
yhbP	589	0.268	4.855e-09	6.7386
yhbQ	589	-0.2387	5.614e-07	5.9547
yhbS	589	-0.02013	0.9417	0.4877
yhbT	589	-0.0592	0.8551	1.4369
yhbU	589	0.2797	6.039e-10	7.0575
yhbV	589	-0.2279	2.746e-06	5.6707
yhbW	589	0.2892	1.016e-10	7.3202
deaD	589	-0.09129	0.3969	2.2209
nlpI	589	0.04514	0.9059	1.0947
pnp	589	-0.1	0.011	2.4351
rpsO	589	-0.1717	0.002876	4.2229
truB	589	-0.0716	0.7663	1.7391
rbfA	589	-0.03582	0.9246	0.8683
infB	589	-0.138	0.06791	3.3754
nusA	589	0.1597	0.009607	3.9205
rimP	589	0.2397	4.789e-07	5.9824
yhbX	589	0.03625	0.9239	0.8789
secG	589	0.1955	0.000196	4.8310
ftsH	589	0.09806	0.1178	2.3873
rlmE	589	0.201	0.0001007	4.9709
yhbY	589	0.2486	1.208e-07	6.2181
greA	589	0.2044	6.533e-05	5.0597
obgE	589	0.05764	0.8627	1.3988
yhbE	589	0.2706	3.049e-09	6.8109
rpmA	589	0.004707	0.9479	0.1140
rplU	589	0.187	0.0005335	4.6132
mlaB	589	0.2133	2.051e-05	5.2907
mlaC	589	-0.07758	0.6959	1.8852
mlaD	589	0.1772	0.001598	4.3628
mlaE	589	0.1316	0.1137	3.2169
mlaF	589	0.2283	2.605e-06	5.6804
hpf	589	0.1418	0.04929	3.4704
ptsN	589	-0.01366	0.9453	0.3311
yhbJ	589	-0.006517	0.9476	0.1579
