param	n	pearson	p	sigma
yigW_1	589	-0.06979	0.7833	1.6949
yigW_2	589	-0.185	0.0006777	4.5597
pepQ	589	0.1547	0.01551	3.7940
yigZ	589	-0.2145	1.755e-05	5.3211
yihD	589	0.2879	1.308e-10	7.2835
rdoA	589	0.3511	1.511e-16	9.0837
yihF	589	-0.1981	0.0001439	4.8964
yihG	589	-0.3059	3.808e-12	7.7837
polA	589	-0.2941	3.983e-11	7.4550
spf	589	0.0318	0.9304	0.7708
yihA	589	0.1211	0.2518	2.9559
yihI	589	-0.07828	0.6859	1.9024
glnL	589	0.09992	0.01561	2.4331
typA	589	-0.06721	0.8047	1.6320
yihM	589	-0.3151	5.524e-13	8.0452
yihN	589	-0.3213	1.478e-13	8.2196
yihO	589	-0.3216	1.385e-13	8.2281
yihP	589	-0.042	0.9131	1.0184
yihQ	589	-0.06328	0.8321	1.5362
yihR	589	-0.2165	1.343e-05	5.3729
yihS	589	-0.09359	0.3159	2.2774
yihT	589	-0.2873	1.47e-10	7.2665
yihV	589	0.2406	4.181e-07	6.0061
yihX	589	0.3781	1.402e-19	9.8949
yihY	589	-0.1429	0.04464	3.4993
dtd	589	0.2025	8.325e-05	5.0101
yiiD	589	-0.02962	0.933	0.7180
yiiF	589	-0.4267	7.033e-26	11.4301
fdhE	589	-0.2219	6.384e-06	5.5143
fdhD	589	-0.1691	0.00376	4.1575
yiiG	589	-0.3199	1.987e-13	8.1807
frvX	589	-0.2849	2.278e-10	7.2022
frvB	589	-0.1493	0.0256	3.6572
frvA	589	0.1174	0.3273	2.8648
rhaM	589	-0.1666	0.004883	4.0928
yiiM	589	0.2059	5.415e-05	5.0978
cpxA	589	-0.2431	2.833e-07	6.0733
yiiQ	589	0.2054	5.808e-05	5.0836
yiiR	589	-0.2215	6.801e-06	5.5024
yiiS	589	0.1925	0.0002831	4.7522
uspD	589	0.1536	0.01715	3.7670
zapB	589	-0.1604	0.009053	3.9359
rraA	589	0.06291	0.8344	1.5271
hslU	589	-0.2683	4.57e-09	6.7480
hslV	589	0.2157	1.504e-05	5.3509
ftsN	589	-0.3077	2.64e-12	7.8339
priA	589	-0.1409	0.05311	3.4485
rpmE	589	-0.02083	0.9412	0.5049
yiiX	589	-0.2057	5.544e-05	5.0930
yijE	589	0.2298	2.097e-06	5.7198
yijF	589	-0.2299	2.063e-06	5.7228
ptsA	589	-0.2497	1.006e-07	6.2489
frwC	589	-0.03797	0.921	0.9206
frwB	589	0.02492	0.9379	0.6039
frwD	589	-0.162	0.007694	3.9778
yijP	589	-0.1247	0.1928	3.0460
yijD	589	0.04792	0.8984	1.1624
trmA	589	-0.2778	8.502e-10	7.0060
b3975	589	-0.2415	3.661e-07	6.0291
secE	589	0.3029	6.962e-12	7.7004
nusG	589	0.2208	7.437e-06	5.4855
rplK	589	0.1696	0.003564	4.1706
rplA	589	0.2177	1.143e-05	5.4039
rplJ	589	0.1604	0.009031	3.9366
rplL	589	0.04162	0.9139	1.0093
rpoB	589	0.01925	0.9423	0.4665
rpoC	589	-0.1174	0.3279	2.8642
yjaZ	589	-0.2923	5.642e-11	7.4051
rsd	589	0.2201	8.169e-06	5.4678
nfi	589	0.1559	0.01387	3.8238
yjaG	589	0.3194	2.204e-13	8.1671
yjaH	589	0.1163	0.354	2.8370
zraP	589	-0.1509	0.02213	3.6974
zraS	589	-0.1407	0.05417	3.4427
yjaA	589	-0.282	3.916e-10	7.1221
yjaB	589	0.06313	0.833	1.5326
aceK	589	0.1367	0.07543	3.3437
arpA	589	-0.1883	0.0004631	4.6446
yjbB	589	0.2523	6.656e-08	6.3176
pepE	589	-0.1216	0.2438	2.9671
rluF	589	-0.08393	0.5881	2.0408
pagB	589	0.2936	4.365e-11	7.4419
yjbE	589	0.1639	0.006359	4.0264
yjbF	589	0.07875	0.6789	1.9140
yjbG	589	0.2491	1.113e-07	6.2318
yjbH	589	-0.09682	0.1789	2.3568
psiE	589	-0.3541	7.122e-17	9.1739
malM	589	0.1552	0.01488	3.8052
yjbI	589	-0.2302	1.958e-06	5.7323
dinF	589	0.3615	1.122e-17	9.3925
yjbJ	589	0.008756	0.947	0.2121
yjbL	589	-0.2395	4.916e-07	5.9779
yjbM	589	-0.2092	3.551e-05	5.1825
dusA	589	-0.2252	4.02e-06	5.6005
pspG	589	0.1277	0.1545	3.1188
qor	589	0.3127	9.308e-13	7.9753
dnaB	589	0.2268	3.189e-06	5.6432
yjbQ	589	0.2153	1.585e-05	5.3408
yjbR	589	0.3188	2.516e-13	8.1496
uvrA	589	0.3173	3.47e-13	8.1071
ssb	589	0.2837	2.877e-10	7.1678
yjcB	589	-0.0101	0.9467	0.2448
yjcC	589	-0.08876	0.4728	2.1591
yjcD	589	-0.06997	0.7817	1.6994
yjcE	589	0.2607	1.669e-08	6.5431
yjcF	589	-0.2914	6.709e-11	7.3802
yjcH	589	0.01567	0.9444	0.3797
nrfE	589	0.2985	1.685e-11	7.5769
nrfF	589	-0.104	0.7924	2.5340
nrfG	589	0.09908	0.06362	2.4123
yjcO	589	-0.005912	0.9477	0.1432
sdsP	589	0.06271	0.8357	1.5222
sdsQ	589	-0.06263	0.8361	1.5204
sdsR	589	-0.04431	0.9079	1.0746
yjcS	589	-0.09928	0.05224	2.4174
phnP	589	-0.01162	0.9461	0.2815
phnO	589	-0.0009171	0.9482	0.0222
phnM	589	0.2726	2.161e-09	6.8640
phnL	589	0.1707	0.00318	4.1985
phnK	589	0.141	0.05269	3.4508
phnJ	589	0.3234	9.29e-14	8.2803
phnI	589	0.2922	5.795e-11	7.4013
phnH	589	0.1117	0.4856	2.7221
phnG	589	0.02864	0.9342	0.6941
phnE_2	589	-0.04246	0.9121	1.0296
phnE_1	589	0.02565	0.9372	0.6216
phnD	589	-0.05656	0.8675	1.3726
phnC	589	0.2297	2.104e-06	5.7192
yjdN	589	-0.125	0.1896	3.0516
yjdM	589	-0.1235	0.211	3.0159
yjdA	589	-0.1826	0.0008788	4.5010
yjcZ	589	-0.2047	6.301e-05	5.0671
basS	589	-0.1861	0.0005954	4.5888
eptA	589	-0.2865	1.688e-10	7.2463
yjdF	589	-0.3221	1.24e-13	8.2426
dcuS	589	-0.0512	0.8883	1.2421
yjdI	589	0.3302	2.03e-14	8.4764
yjdJ	589	0.09068	0.4163	2.2060
yjdK	589	-0.04622	0.9031	1.1211
cutA	589	0.2294	2.214e-06	5.7100
fxsA	589	-0.2195	8.904e-06	5.4514
yjeH	589	0.01977	0.9419	0.4790
groS	589	0.2815	4.296e-10	7.1083
groL	589	0.09357	0.3166	2.2769
yjeI	589	0.09822	0.1095	2.3912
yjeJ	589	-0.3418	1.404e-15	8.8119
epmB	589	0.1168	0.3427	2.8485
efp	589	0.2704	3.178e-09	6.8045
sugE	589	0.2137	1.957e-05	5.2999
blc	589	-0.04927	0.8944	1.1953
ampC	589	-0.3137	7.466e-13	8.0049
epmA	589	-0.2349	9.955e-07	5.8537
yjeM	589	0.0747	0.7328	1.8149
yjeN	589	-0.1839	0.0007663	4.5320
yjeO	589	-0.296	2.72e-11	7.5093
yjeP	589	-0.1608	0.008652	3.9477
orn	589	0.3346	7.509e-15	8.6026
queG	589	-0.2883	1.2e-10	7.2960
yjeF	589	0.0793	0.6707	1.9273
tsaE	589	0.2343	1.085e-06	5.8384
mutL	589	0.3424	1.222e-15	8.8290
miaA	589	0.3721	7.002e-19	9.7130
hfq	589	0.3285	3.012e-14	8.4259
hflX	589	0.33	2.157e-14	8.4687
hflK	589	0.2328	1.356e-06	5.7985
hflC	589	0.3051	4.417e-12	7.7633
yjeT	589	0.1462	0.03358	3.5810
rnr	589	0.3071	2.971e-12	7.8177
rlmB	589	0.2418	3.461e-07	6.0388
yjfI	589	-0.2658	7.082e-09	6.6794
yjfK	589	0.006271	0.9476	0.1519
yjfL	589	-0.2601	1.852e-08	6.5263
yjfM	589	-0.1952	0.0002053	4.8211
yjfC	589	-0.1305	0.1246	3.1879
yjfN	589	0.03118	0.9311	0.7558
bsmA	589	0.09663	0.1876	2.3522
yjfP	589	-0.2565	3.342e-08	6.4308
yjfY	589	0.03843	0.9202	0.9317
rpsF	589	0.157	0.01249	3.8517
priB	589	0.1824	0.0008995	4.4956
rpsR	589	0.1195	0.2826	2.9163
rplI	589	0.06458	0.8237	1.5680
yjfZ	589	-0.2532	5.762e-08	6.3414
ytfB	589	0.04494	0.9064	1.0899
fklB	589	0.2883	1.218e-10	7.2939
ytfF	589	-0.06736	0.8036	1.6357
ytfG	589	-0.2631	1.12e-08	6.6068
ytfI	589	-0.2337	1.184e-06	5.8228
ytfJ	589	-0.06051	0.8482	1.4688
ytfK	589	0.1302	0.1272	3.1812
ytfL	589	-0.2408	4.069e-07	6.0108
tamA	589	0.05417	0.8775	1.3143
tamB	589	0.4486	4.088e-29	12.1600
ytfP	589	-0.00369	0.948	0.0894
yzfA	589	-0.2928	5.072e-11	7.4204
chpS	589	-0.2151	1.633e-05	5.3351
chpB	589	-0.1833	0.0008135	4.5185
yjgA	589	0.3548	6.016e-17	9.1940
pmbA	589	0.3393	2.531e-15	8.7388
cybC	589	-0.2461	1.782e-07	6.1524
ridA	589	0.1411	0.05212	3.4540
pyrL	589	-0.1757	0.001884	4.3240
yjgG	589	-0.176	0.001823	4.3318
yjgH	589	-0.2188	9.835e-06	5.4325
bdcA	589	-0.1155	0.3753	2.8161
tabA	589	0.168	0.004217	4.1292
yjgL	589	-0.3052	4.358e-12	7.7652
rraB	589	0.2131	2.118e-05	5.2844
yjgM	589	0.1156	0.3722	2.8191
yjgN	589	-0.2889	1.081e-10	7.3112
holC	589	0.275	1.407e-09	6.9296
yjgR	589	0.0534	0.8804	1.2957
yjgB	589	0.04426	0.908	1.0735
intB	589	-0.3389	2.746e-15	8.7286
yjgW	589	-0.2971	2.229e-11	7.5375
yjgX_2	589	0.002142	0.9482	0.0519
yjgX_1	589	-0.2108	2.882e-05	5.2239
yjgZ	589	0.1699	0.00348	4.1764
insG	589	-0.04851	0.8967	1.1767
yjhB	589	-0.1852	0.0006585	4.5662
yjhC	589	-0.1122	0.4677	2.7360
yjhD	589	-0.2289	2.372e-06	5.6975
yjhE	589	-0.3464	4.649e-16	8.9475
insN_2	589	-0.1995	0.0001204	4.9337
insO_2	589	-0.2333	1.259e-06	5.8118
yjhV	589	-0.1947	0.000218	4.8083
insA_7	589	0.2364	7.904e-07	5.8946
yjhF	589	-0.2871	1.52e-10	7.2616
yjhG	589	0.2115	2.63e-05	5.2420
yjhH	589	-0.1858	0.0006183	4.5803
sgcA	589	-0.08845	0.4813	2.1515
sgcQ	589	-0.244	2.5e-07	6.0947
sgcC	589	-0.05259	0.8834	1.2759
sgcX	589	-0.05539	0.8726	1.3441
yjhP	589	0.01703	0.9436	0.4126
yjhQ	589	-0.245	2.142e-07	6.1211
yjhR	589	-0.1844	0.0007205	4.5459
nanS	589	-0.2715	2.601e-09	6.8355
nanM	589	-0.3003	1.163e-11	7.6289
fimB	589	0.1503	0.02328	3.6835
fimE	589	0.2809	4.821e-10	7.0912
fimA	589	0.212	2.439e-05	5.2568
fimI	589	0.1854	0.0006413	4.5721
fimC	589	0.1642	0.006194	4.0331
fimD	589	0.2326	1.388e-06	5.7943
fimF	589	0.1948	0.000215	4.8112
fimG	589	0.246	1.805e-07	6.1502
fimH	589	0.2915	6.634e-11	7.3818
yjiC	589	0.4416	4.744e-28	11.9235
iraD	589	0.3525	1.053e-16	9.1271
iadA	589	0.3143	6.574e-13	8.0219
yjiG	589	0.3281	3.278e-14	8.4151
yjiH	589	0.2986	1.643e-11	7.5805
kptA	589	0.3121	1.055e-12	7.9584
yjiJ	589	0.2418	3.474e-07	6.0381
yjiK	589	0.305	4.512e-12	7.7604
yjiL	589	0.3395	2.413e-15	8.7447
yjiM	589	0.3139	7.145e-13	8.0108
yjiN	589	0.3974	6.109e-22	10.4908
mdtM	589	0.3269	4.249e-14	8.3817
yjiP	589	0.3066	3.274e-12	7.8044
yjiS	589	0.3902	4.778e-21	10.2685
yjiT	589	0.3271	4.06e-14	8.3875
yjiU	589	0.2982	1.79e-11	7.5684
mcrD	589	0.2704	3.187e-09	6.8040
mcrC	589	0.1687	0.003937	4.1462
mcrB	589	0.2782	7.931e-10	7.0165
symE	589	0.3172	3.553e-13	8.1040
hsdS	589	0.2485	1.224e-07	6.2159
hsdM	589	0.316	4.577e-13	8.0703
hsdR	589	0.2928	5.081e-11	7.4202
mrr	589	0.3339	8.766e-15	8.5831
yjiA	589	0.3697	1.327e-18	9.6399
yjiX	589	0.3608	1.344e-17	9.3713
yjiY	589	0.3293	2.503e-14	8.4497
tsr	589	0.2712	2.768e-09	6.8259
mdoB	589	0.4018	1.635e-22	10.6313
yjjA	589	0.2528	6.127e-08	6.3313
dnaC	589	0.3006	1.099e-11	7.6368
dnaT	589	0.3116	1.172e-12	7.9443
yjjB	589	-0.2847	2.397e-10	7.1948
yjjP	589	-0.1745	0.002147	4.2930
rsmC	589	-0.2608	1.657e-08	6.5442
holD	589	0.2487	1.181e-07	6.2219
rimI	589	0.09682	0.1788	2.3568
prfC	589	-0.03751	0.9218	0.9094
osmY	589	0.04167	0.9138	1.0106
yjjU	589	0.2888	1.097e-10	7.3091
yjjV	589	-0.009032	0.947	0.2188
yjjW	589	-0.1648	0.005844	4.0478
yjjI	589	-0.1393	0.06092	3.4079
ytjB	589	0.307	3.026e-12	7.8153
radA	589	0.07944	0.6684	1.9308
yjjK	589	0.3438	8.74e-16	8.8702
creA	589	0.2521	6.949e-08	6.3104
creC	589	-0.1385	0.06521	3.3876
creD	589	0.05446	0.8763	1.3215
yjjY	589	0.01121	0.9463	0.2717
yjtD	589	-0.2491	1.123e-07	6.2304
yfjD	589	0.3558	4.636e-17	9.2251
ygcU	589	0.1132	0.4382	2.7600
ygfQ	589	-0.2653	7.659e-09	6.6670
yggP	589	-0.3582	2.57e-17	9.2950
yhaM	589	-0.2408	4.051e-07	6.0115
yhdP	589	0.01572	0.9443	0.3809
rtcA	589	-0.2682	4.684e-09	6.7442
yigE	589	-0.1204	0.2648	2.9387
